datetime_utc,_conds,_tempm,_hum,_pressurem
20221115-12:00,Cool,9.8,60,1022.7
20221115-13:00,Mild,12.2,55,1023.0
20221115-14:00,Pleasant,14.5,50,1023.3
20221115-15:00,Mild,13.8,53,1023.0
20221115-16:00,Cool,11.2,58,1022.7
20221115-17:00,Chilly,8.5,63,1022.4
20221115-18:00,Cold,5.8,68,1022.1
20221115-19:00,Freezing,3.2,73,1021.8
20221115-20:00,Very Cold,0.5,78,1021.5
20221215-12:00,Freezing,-2.1,82,1018.5
20221215-13:00,Very Cold,-4.5,85,1018.2
20221215-14:00,Extremely Cold,-6.8,88,1017.9
20221215-15:00,Arctic,-9.2,90,1017.6
20221215-16:00,Bitter Cold,-11.5,92,1017.3
20230101-00:00,New Year,0.0,75,1013.2
20230101-01:00,Celebration,2.3,72,1013.5
20230101-02:00,Festive,4.6,68,1013.8
20230201-12:00,Winter,1.5,80,1015.2
20230201-13:00,Cold Snap,-1.2,85,1014.9
20230201-14:00,Frigid,-3.8,88,1014.6
20230301-08:00,Spring Hint,6.2,65,1018.5
20230301-09:00,Warming,8.5,60,1018.8
20230301-10:00,Mild Spring,10.8,55,1019.1
20230401-14:00,Spring Rain,14.5,70,1016.2
20230401-15:00,April Showers,13.8,75,1015.9
20230401-16:00,Fresh Rain,12.2,80,1015.6
20230501-10:00,May Flowers,18.5,50,1020.1
20230501-11:00,Blooming,21.8,45,1020.4
20230501-12:00,Beautiful,24.2,40,1020.7
